Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Active,نشط
Administrator,المسؤول
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
API,واجهة API
Asset Insurance,تأمين الأصول
Assigned,بند واجهة
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
"At least one reference is required: Customer, Lead, or Opportunity.",بند واجهة
Attachments,المرفقات
Audit,التدقيق
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Billing,الفوترة
Billing & collections,الفوترة والتحصيل
Blacklisted,بند واجهة
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Branch belongs to another company.,بند واجهة
Branch does not exist.,بند واجهة
Breached,بند واجهة
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
Call,بند واجهة
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign,بند واجهة
Campaign Cost,بند واجهة
Campaign Name,بند واجهة
Campaign Owner,بند واجهة
Campaign ROI,عائد الحملة
Campaign Type,بند واجهة
Cancel,إلغاء
Cancelled,ملغى
Car Rental,تأجير السيارات
Card Break,قسم
Case Category,بند واجهة
Case Owner,بند واجهة
Category and Details,الفئة و التفاصيل
Channel,قناة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Company filter is required.,الشركة تصفية is مطلوب .
Complaint,بند واجهة
Completed,مكتمل
Compliance,امتثال
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Contact,جهة اتصال
Converted,بند واجهة
Core ERP,ERP الأساسي
Corporate,مؤسسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Create or review your first **CRM Interaction Log** record from this workspace.,أنشئ أو راجع أول سجل **CRM — بند واجهة** من مساحة العمل هذه.
Create or review your first **CRM Lead** record from this workspace.,أنشئ أو راجع أول سجل **CRM — بند واجهة** من مساحة العمل هذه.
Create or review your first **Customer Profile** record from this workspace.,أنشئ أو راجع أول سجل **العميل الملف الشخصي** من مساحة العمل هذه.
